business_id,industry,emirate,month,employees,leads,qualified_leads,customers,conversion_rate,marketing_spend,sales_revenue,operating_cost,gross_profit,net_profit,avg_order_value,customer_acquisition_cost,repeat_customers,churn_rate,website_visits,enquiries,sales_calls,deals_closed,cash_balance
UAE_001,Retail,Ras Al Khaimah,2023-01,5,56,24,1,2.85,6736,1888,8178,-6290,-5186,2302.72,6736.0,0,6.14,336,33,14,1,96556
UAE_001,Retail,Ras Al Khaimah,2023-02,5,49,18,1,3.15,8186,1592,9210,-7618,-6802,1871.03,8186.0,0,5.82,490,29,12,1,89754
UAE_001,Retail,Ras Al Khaimah,2023-03,5,25,8,1,2.91,3377,718,3773,-3055,-2454,777.23,3377.0,0,4.99,200,15,6,1,87300
UAE_001,Retail,Ras Al Khaimah,2023-04,5,50,18,1,3.39,8784,2097,10109,-8012,-6955,2048.53,8784.0,0,7.71,400,30,12,1,80345
UAE_001,Retail,Ras Al Khaimah,2023-05,5,32,12,1,3.4,3850,3106,6234,-3128,-2764,2761.71,3850.0,0,4.12,224,19,8,1,77581
UAE_001,Retail,Ras Al Khaimah,2023-06,5,19,7,1,2.66,4032,3419,6220,-2801,-2330,2844.77,4032.0,0,3.74,171,11,4,1,75251
UAE_001,Retail,Ras Al Khaimah,2023-07,5,28,12,1,2.48,4494,1145,5267,-4122,-3530,926.53,4494.0,0,5.97,168,16,7,1,71721
UAE_001,Retail,Ras Al Khaimah,2023-08,5,33,10,1,3.63,4765,1057,5380,-4323,-3380,866.76,4765.0,0,2.19,198,19,8,1,68341
UAE_001,Retail,Ras Al Khaimah,2023-09,5,56,24,1,3.54,6969,1004,7637,-6633,-5689,866.25,6969.0,0,7.8,616,33,14,1,62652
UAE_001,Retail,Ras Al Khaimah,2023-10,5,22,9,1,2.22,3258,2302,4700,-2398,-2062,2147.91,3258.0,0,4.12,176,13,5,1,60590
UAE_001,Retail,Ras Al Khaimah,2023-11,5,43,20,1,1.53,6810,965,7462,-6497,-5826,982.02,6810.0,0,7.86,387,25,10,1,54764
UAE_001,Retail,Ras Al Khaimah,2023-12,5,15,6,1,3.26,3472,1620,4613,-2993,-2506,1764.04,3472.0,0,5.38,105,9,3,1,52258
UAE_001,Retail,Ras Al Khaimah,2024-01,5,13,6,1,1.97,2655,880,3140,-2260,-1841,979.26,2655.0,0,7.86,78,7,3,1,50417
UAE_001,Retail,Ras Al Khaimah,2024-02,5,25,8,1,2.99,4648,1397,5700,-4303,-3474,1499.33,4648.0,0,4.23,275,15,6,1,46943
UAE_001,Retail,Ras Al Khaimah,2024-03,5,55,17,1,3.56,7192,808,7692,-6884,-5682,799.3,7192.0,0,4.66,495,33,13,1,41261
UAE_001,Retail,Ras Al Khaimah,2024-04,5,37,12,1,2.79,5277,1731,6558,-4827,-4191,1546.03,5277.0,0,4.14,370,22,9,1,37070
UAE_001,Retail,Ras Al Khaimah,2024-05,5,20,6,1,3.23,4201,1379,4960,-3581,-3071,1121.89,4201.0,0,2.71,220,12,5,1,33999
UAE_001,Retail,Ras Al Khaimah,2024-06,5,33,13,1,3.24,4545,2462,6132,-3670,-3231,1875.25,4545.0,0,3.03,330,19,8,1,30768
UAE_001,Retail,Ras Al Khaimah,2024-07,5,29,8,1,3.31,3708,3507,6317,-2810,-2311,2598.12,3708.0,0,7.02,319,17,7,1,28457
UAE_001,Retail,Ras Al Khaimah,2024-08,5,98,39,3,3.97,10472,3381,12678,-9297,-7070,846.38,3490.67,0,7.66,1078,58,24,3,21387
UAE_001,Retail,Ras Al Khaimah,2024-09,5,76,25,2,3.73,8918,6213,13188,-6975,-5915,2457.11,4459.0,0,7.45,836,45,19,2,15472
UAE_001,Retail,Ras Al Khaimah,2024-10,5,27,13,1,3.09,3932,1377,4909,-3532,-2764,1179.58,3932.0,0,3.62,270,16,6,1,12708
UAE_001,Retail,Ras Al Khaimah,2024-11,5,63,24,1,2.0,8978,1853,10281,-8428,-6440,1731.94,8978.0,0,6.42,630,37,15,1,6268
UAE_001,Retail,Ras Al Khaimah,2024-12,5,58,17,1,1.54,7786,1444,8624,-7180,-5936,1445.15,7786.0,0,6.24,580,34,14,1,332
UAE_001,Retail,Ras Al Khaimah,2025-01,5,13,6,1,3.12,2094,2037,3239,-1202,-983,2084.61,2094.0,0,6.29,91,7,3,1,-651
UAE_001,Retail,Ras Al Khaimah,2025-02,5,11,4,1,1.56,2055,1796,3326,-1530,-1356,1773.46,2055.0,0,4.72,110,6,2,1,-2007
UAE_001,Retail,Ras Al Khaimah,2025-03,5,52,23,1,2.22,6497,898,7176,-6278,-5294,817.56,6497.0,0,7.98,520,31,13,1,-7301
UAE_001,Retail,Ras Al Khaimah,2025-04,5,31,15,1,3.4,5483,1673,6710,-5037,-4024,1376.33,5483.0,0,4.64,279,18,7,1,-11325
UAE_001,Retail,Ras Al Khaimah,2025-05,5,50,20,1,1.86,8057,2465,9459,-6994,-5727,1847.63,8057.0,0,3.64,350,30,12,1,-17052
UAE_001,Retail,Ras Al Khaimah,2025-06,5,62,24,2,3.6,9015,4742,11981,-7239,-5922,1665.31,4507.5,0,7.16,620,37,15,2,-22974
UAE_001,Retail,Ras Al Khaimah,2025-07,5,30,10,1,3.85,4529,3498,6914,-3416,-2735,2391.29,4529.0,0,4.02,330,18,7,1,-25709
UAE_001,Retail,Ras Al Khaimah,2025-08,5,96,46,4,3.46,9262,14357,19478,-5121,-4313,2488.16,3087.33,1,2.04,1056,57,24,3,-30022
UAE_001,Retail,Ras Al Khaimah,2025-09,5,22,6,1,3.31,2576,1892,3692,-1800,-1452,1382.36,2576.0,0,5.65,176,13,5,1,-31474
UAE_001,Retail,Ras Al Khaimah,2025-10,5,27,11,1,2.99,3895,1788,5133,-3345,-2809,1415.22,3895.0,0,3.15,162,16,6,1,-34283
UAE_001,Retail,Ras Al Khaimah,2025-11,5,57,19,1,1.91,6756,1579,7748,-6169,-5042,1364.14,6756.0,0,6.26,627,34,14,1,-39325
UAE_001,Retail,Ras Al Khaimah,2025-12,5,63,22,2,3.23,6779,2518,8362,-5844,-4759,1165.42,3389.5,0,3.14,693,37,15,2,-44084
UAE_002,Retail,Dubai,2023-01,2,47,16,1,3.74,5454,1753,6766,-5013,-3927,2138.12,5454.0,0,6.2,470,28,11,1,37742
UAE_002,Retail,Dubai,2023-02,2,14,5,1,3.51,1902,800,2427,-1627,-1337,940.55,1902.0,0,3.25,140,8,3,1,36405
UAE_002,Retail,Dubai,2023-03,2,30,14,1,3.61,3827,1759,5107,-3348,-2533,1902.68,3827.0,0,3.43,270,18,7,1,33872
UAE_002,Retail,Dubai,2023-04,2,36,14,1,3.28,4557,2999,6387,-3388,-2700,2929.52,4557.0,0,3.91,324,21,9,1,31172
UAE_002,Retail,Dubai,2023-05,2,34,11,1,2.87,4671,1388,5716,-4328,-3609,1234.21,4671.0,0,7.41,306,20,8,1,27563
UAE_002,Retail,Dubai,2023-06,2,47,15,1,3.06,5509,2379,7045,-4666,-3611,1979.53,5509.0,0,3.84,282,28,11,1,23952
UAE_002,Retail,Dubai,2023-07,2,83,31,1,1.52,9958,3561,12556,-8995,-7169,2880.2,9958.0,0,6.39,747,49,20,1,16783
UAE_002,Retail,Dubai,2023-08,2,18,5,1,3.07,2884,1827,4167,-2340,-2060,1497.0,2884.0,0,3.68,162,10,4,1,14723
UAE_002,Retail,Dubai,2023-09,2,86,31,2,2.34,9203,2319,10824,-8505,-7495,1000.06,4601.5,0,2.73,774,51,21,2,7228
UAE_002,Retail,Dubai,2023-10,2,27,9,1,2.91,4165,3057,6330,-3273,-2858,2852.47,4165.0,0,3.21,189,16,6,1,4370
UAE_002,Retail,Dubai,2023-11,2,60,25,1,3.01,8298,1685,9331,-7646,-6615,1715.39,8298.0,0,5.45,360,36,15,1,-2245
UAE_002,Retail,Dubai,2023-12,2,52,20,1,3.44,6080,1706,7266,-5560,-4841,1858.35,6080.0,0,6.35,520,31,13,1,-7086
UAE_002,Retail,Dubai,2024-01,2,25,10,1,2.13,4019,2543,5608,-3065,-2357,2829.65,4019.0,0,2.49,225,15,6,1,-9443
UAE_002,Retail,Dubai,2024-02,2,16,7,1,3.89,2540,877,3133,-2256,-1820,941.38,2540.0,0,5.09,96,9,4,1,-11263
UAE_002,Retail,Dubai,2024-03,2,15,6,1,2.41,2409,1031,3111,-2080,-1640,1019.01,2409.0,0,6.0,120,9,3,1,-12903
UAE_002,Retail,Dubai,2024-04,2,24,9,1,1.67,4276,3190,6414,-3224,-2549,2848.23,4276.0,0,3.77,144,14,6,1,-15452
UAE_002,Retail,Dubai,2024-05,2,42,15,1,3.39,6930,3507,9061,-5554,-4265,2853.14,6930.0,0,4.47,294,25,10,1,-19717
UAE_002,Retail,Dubai,2024-06,2,39,13,1,1.95,6990,1313,7974,-6661,-5292,1000.22,6990.0,0,5.15,351,23,9,1,-25009
UAE_002,Retail,Dubai,2024-07,2,51,21,1,1.7,7574,2794,9643,-6849,-5219,2069.9,7574.0,0,6.53,561,30,12,1,-30228
UAE_002,Retail,Dubai,2024-08,2,68,33,1,1.56,8585,3438,10697,-7259,-5588,2582.37,8585.0,0,2.52,680,40,17,1,-35816
UAE_002,Retail,Dubai,2024-09,2,67,25,2,3.89,10048,3151,12234,-9083,-7591,1246.1,5024.0,0,5.63,670,40,16,2,-43407
UAE_002,Retail,Dubai,2024-10,2,18,7,1,3.99,3475,1174,4368,-3194,-2768,1005.47,3475.0,0,3.55,108,10,4,1,-46175
UAE_002,Retail,Dubai,2024-11,2,25,10,1,1.92,3979,2646,5686,-3040,-2577,2473.44,3979.0,0,3.99,150,15,6,1,-48752
UAE_002,Retail,Dubai,2024-12,2,49,24,1,2.1,5401,1254,6205,-4951,-4017,1255.48,5401.0,0,6.98,539,29,12,1,-52769
UAE_002,Retail,Dubai,2025-01,2,41,13,1,3.87,7101,2913,8842,-5929,-4762,2980.95,7101.0,0,7.44,451,24,10,1,-57531
UAE_002,Retail,Dubai,2025-02,2,35,14,1,1.83,6117,2838,7717,-4879,-4167,2801.91,6117.0,0,3.9,210,21,8,1,-61698
UAE_002,Retail,Dubai,2025-03,2,12,5,1,2.99,2484,2679,4520,-1841,-1538,2437.18,2484.0,0,4.58,108,7,3,1,-63236
UAE_002,Retail,Dubai,2025-04,2,33,11,1,2.16,6441,2846,8440,-5594,-4873,2340.78,6441.0,0,5.34,297,19,8,1,-68109
UAE_002,Retail,Dubai,2025-05,2,85,37,4,3.83,9851,5007,13049,-8042,-6482,938.38,3283.67,1,6.82,595,51,21,3,-74591
UAE_002,Retail,Dubai,2025-06,2,55,18,2,3.89,6976,2536,8654,-6118,-4688,890.47,3488.0,0,4.04,495,33,13,2,-79279
UAE_002,Retail,Dubai,2025-07,2,62,30,2,3.68,10967,7483,16780,-9297,-7806,2557.3,5483.5,0,6.7,496,37,15,2,-87085
UAE_002,Retail,Dubai,2025-08,2,13,4,1,3.03,3126,1312,3953,-2641,-2322,909.56,3126.0,0,3.96,143,7,3,1,-89407
UAE_002,Retail,Dubai,2025-09,2,78,38,1,2.12,10704,2860,12550,-9690,-7881,2089.57,10704.0,0,5.98,546,46,19,1,-97288
UAE_002,Retail,Dubai,2025-10,2,32,15,1,3.36,4214,1140,5030,-3890,-3459,902.11,4214.0,0,2.72,288,19,8,1,-100747
UAE_002,Retail,Dubai,2025-11,2,39,17,1,2.65,7052,3438,9539,-6101,-4803,2970.52,7052.0,0,4.9,351,23,9,1,-105550
UAE_002,Retail,Dubai,2025-12,2,10,3,1,2.6,1735,2603,3488,-885,-775,2409.17,1735.0,0,6.85,70,6,2,1,-106325
UAE_003,Retail,Dubai,2023-01,2,12,4,1,3.7,2150,1436,3135,-1699,-1452,1752.27,2150.0,0,6.53,108,7,3,1,98457
UAE_003,Retail,Dubai,2023-02,2,38,18,1,1.85,6167,2516,7771,-5255,-4552,2957.83,6167.0,0,2.65,380,22,9,1,93905
UAE_003,Retail,Dubai,2023-03,2,54,20,2,3.92,7248,5268,10856,-5588,-4631,2849.15,3624.0,0,5.39,594,32,13,2,89274
UAE_003,Retail,Dubai,2023-04,2,55,19,2,3.82,7470,2484,9259,-6775,-5636,1213.04,3735.0,0,7.79,550,33,13,2,83638
UAE_003,Retail,Dubai,2023-05,2,61,21,1,3.06,9942,3165,12085,-8920,-7090,2813.75,9942.0,0,3.14,488,36,15,1,76548
UAE_003,Retail,Dubai,2023-06,2,70,30,1,2.05,11427,2212,12657,-10445,-8429,1840.55,11427.0,0,5.58,490,42,17,1,68119
UAE_003,Retail,Dubai,2023-07,2,68,30,2,3.0,10836,7282,15801,-8519,-6825,2944.67,5418.0,0,6.62,612,40,17,2,61294
UAE_003,Retail,Dubai,2023-08,2,66,30,2,3.26,7448,3513,9594,-6081,-5195,1439.1,3724.0,0,6.43,462,39,16,2,56099
UAE_003,Retail,Dubai,2023-09,2,46,18,1,2.82,7101,1385,8119,-6734,-5238,1194.5,7101.0,0,5.12,506,27,11,1,50861
UAE_003,Retail,Dubai,2023-10,2,34,14,1,2.34,6465,1907,7722,-5815,-5044,1779.54,6465.0,0,3.69,306,20,8,1,45817
UAE_003,Retail,Dubai,2023-11,2,49,20,1,3.65,7416,1511,8461,-6950,-6134,1537.95,7416.0,0,5.92,294,29,12,1,39683
UAE_003,Retail,Dubai,2023-12,2,41,13,1,1.66,5176,1753,6181,-4428,-3820,1909.44,5176.0,0,3.32,287,24,10,1,35863
UAE_003,Retail,Dubai,2024-01,2,10,3,1,3.77,1709,1282,2468,-1186,-1024,1427.17,1709.0,0,6.06,70,6,2,1,34839
UAE_003,Retail,Dubai,2024-02,2,31,12,1,2.51,4852,952,5589,-4637,-3607,1021.68,4852.0,0,5.73,217,18,7,1,31232
UAE_003,Retail,Dubai,2024-03,2,53,20,1,2.1,6395,2695,8336,-5641,-4689,2663.63,6395.0,0,5.84,583,31,13,1,26543
UAE_003,Retail,Dubai,2024-04,2,71,31,1,2.53,7938,2583,9751,-7168,-5417,2306.37,7938.0,0,2.04,568,42,17,1,21126
UAE_003,Retail,Dubai,2024-05,2,80,27,1,1.9,8434,1783,9579,-7796,-6434,1450.61,8434.0,0,6.94,800,48,20,1,14692
UAE_003,Retail,Dubai,2024-06,2,75,23,2,3.3,8926,2202,10148,-7946,-6882,838.56,4463.0,0,3.11,750,45,18,2,7810
UAE_003,Retail,Dubai,2024-07,2,51,17,1,2.68,10792,3514,13297,-9783,-8199,2603.2,10792.0,0,7.71,408,30,12,1,-389
UAE_003,Retail,Dubai,2024-08,2,18,8,1,1.56,2999,3241,4940,-1699,-1495,2434.57,2999.0,0,6.13,162,10,4,1,-1884
UAE_003,Retail,Dubai,2024-09,2,59,26,1,2.71,9620,1921,11034,-9113,-7160,1519.66,9620.0,0,5.46,472,35,14,1,-9044
UAE_003,Retail,Dubai,2024-10,2,48,19,1,2.78,5564,1724,6864,-5140,-3978,1476.73,5564.0,0,7.02,432,28,12,1,-13022
UAE_003,Retail,Dubai,2024-11,2,27,8,1,2.99,2831,2829,4406,-1577,-1382,2643.65,2831.0,0,3.27,297,16,6,1,-14404
UAE_003,Retail,Dubai,2024-12,2,47,21,1,2.1,5876,1349,6774,-5425,-4701,1350.29,5876.0,0,3.9,376,28,11,1,-19105
UAE_003,Retail,Dubai,2025-01,2,15,5,1,3.16,2039,1076,2816,-1740,-1453,1101.81,2039.0,0,7.49,150,9,3,1,-20558
UAE_003,Retail,Dubai,2025-02,2,30,11,1,1.91,5532,1447,6627,-5180,-4373,1429.05,5532.0,0,5.73,300,18,7,1,-24931
UAE_003,Retail,Dubai,2025-03,2,35,11,1,3.12,5668,2372,7013,-4641,-3558,2158.62,5668.0,0,6.97,245,21,8,1,-28489
UAE_003,Retail,Dubai,2025-04,2,42,19,1,3.94,9543,3160,11750,-8590,-7276,2599.14,9543.0,0,2.39,252,25,10,1,-35765
UAE_003,Retail,Dubai,2025-05,2,27,10,1,2.39,4034,3147,5958,-2811,-2241,2359.48,4034.0,0,5.97,162,16,6,1,-38006
UAE_003,Retail,Dubai,2025-06,2,58,23,1,3.01,11402,2934,13477,-10543,-9098,2060.7,11402.0,0,5.16,580,34,14,1,-47104
UAE_003,Retail,Dubai,2025-07,2,44,19,1,2.21,6103,3596,8593,-4997,-3805,2458.29,6103.0,0,3.83,440,26,11,1,-50909
UAE_003,Retail,Dubai,2025-08,2,56,19,1,3.05,9495,1129,10355,-9226,-8270,782.96,9495.0,0,4.9,448,33,14,1,-59179
UAE_003,Retail,Dubai,2025-09,2,28,9,1,3.87,5238,1713,6395,-4682,-3991,1251.94,5238.0,0,5.68,252,16,7,1,-63170
UAE_003,Retail,Dubai,2025-10,2,29,8,1,2.64,4685,3315,7264,-3949,-3058,2622.88,4685.0,0,5.42,232,17,7,1,-66228
UAE_003,Retail,Dubai,2025-11,2,56,23,1,2.69,7633,877,8148,-7271,-5834,758.33,7633.0,0,3.63,560,33,14,1,-72062
UAE_003,Retail,Dubai,2025-12,2,48,23,1,3.91,7245,1053,7889,-6836,-5963,975.35,7245.0,0,3.8,336,28,12,1,-78025
UAE_004,Retail,Ras Al Khaimah,2023-01,9,41,20,1,2.69,4647,3751,7223,-3472,-3065,4575.38,4647.0,0,4.59,287,24,10,1,72604
UAE_004,Retail,Ras Al Khaimah,2023-02,9,23,9,1,2.64,3388,2605,5250,-2645,-2159,3061.88,3388.0,0,2.04,161,13,5,1,70445
