business_id,month,category,amount
UAE_001,2023-01,Rent,2044
UAE_001,2023-01,Salaries,3680
UAE_001,2023-01,Utilities & Tech,1226
UAE_001,2023-01,Marketing,6736
UAE_001,2023-02,Rent,2302
UAE_001,2023-02,Salaries,4144
UAE_001,2023-02,Utilities & Tech,1381
UAE_001,2023-02,Marketing,8186
UAE_001,2023-03,Rent,943
UAE_001,2023-03,Salaries,1697
UAE_001,2023-03,Utilities & Tech,565
UAE_001,2023-03,Marketing,3377
UAE_001,2023-04,Rent,2527
UAE_001,2023-04,Salaries,4549
UAE_001,2023-04,Utilities & Tech,1516
UAE_001,2023-04,Marketing,8784
UAE_001,2023-05,Rent,1558
UAE_001,2023-05,Salaries,2805
UAE_001,2023-05,Utilities & Tech,935
UAE_001,2023-05,Marketing,3850
UAE_001,2023-06,Rent,1555
UAE_001,2023-06,Salaries,2799
UAE_001,2023-06,Utilities & Tech,933
UAE_001,2023-06,Marketing,4032
UAE_001,2023-07,Rent,1316
UAE_001,2023-07,Salaries,2370
UAE_001,2023-07,Utilities & Tech,790
UAE_001,2023-07,Marketing,4494
UAE_001,2023-08,Rent,1345
UAE_001,2023-08,Salaries,2421
UAE_001,2023-08,Utilities & Tech,807
UAE_001,2023-08,Marketing,4765
UAE_001,2023-09,Rent,1909
UAE_001,2023-09,Salaries,3436
UAE_001,2023-09,Utilities & Tech,1145
UAE_001,2023-09,Marketing,6969
UAE_001,2023-10,Rent,1175
UAE_001,2023-10,Salaries,2115
UAE_001,2023-10,Utilities & Tech,705
UAE_001,2023-10,Marketing,3258
UAE_001,2023-11,Rent,1865
UAE_001,2023-11,Salaries,3357
UAE_001,2023-11,Utilities & Tech,1119
UAE_001,2023-11,Marketing,6810
UAE_001,2023-12,Rent,1153
UAE_001,2023-12,Salaries,2075
UAE_001,2023-12,Utilities & Tech,691
UAE_001,2023-12,Marketing,3472
UAE_001,2024-01,Rent,785
UAE_001,2024-01,Salaries,1413
UAE_001,2024-01,Utilities & Tech,471
UAE_001,2024-01,Marketing,2655
UAE_001,2024-02,Rent,1425
UAE_001,2024-02,Salaries,2565
