business_id,month,target_revenue,actual_revenue,target_profit,actual_profit,variance
UAE_001,2023-01,1786,1888,-4477,-5186,5.71
UAE_001,2023-02,1599,1592,-6228,-6802,-0.44
UAE_001,2023-03,779,718,-2254,-2454,-7.83
UAE_001,2023-04,1992,2097,-7088,-6955,5.27
UAE_001,2023-05,3055,3106,-2996,-2764,1.67
UAE_001,2023-06,3440,3419,-2393,-2330,-0.61
UAE_001,2023-07,1068,1145,-3827,-3530,7.21
UAE_001,2023-08,1091,1057,-3032,-3380,-3.12
UAE_001,2023-09,1076,1004,-5141,-5689,-6.69
UAE_001,2023-10,2258,2302,-1794,-2062,1.95
UAE_001,2023-11,975,965,-5283,-5826,-1.03
UAE_001,2023-12,1628,1620,-2317,-2506,-0.49
UAE_001,2024-01,808,880,-1978,-1841,8.91
UAE_001,2024-02,1395,1397,-3248,-3474,0.14
UAE_001,2024-03,736,808,-5666,-5682,9.78
UAE_001,2024-04,1664,1731,-4711,-4191,4.03
UAE_001,2024-05,1443,1379,-3084,-3071,-4.44
UAE_001,2024-06,2526,2462,-3262,-3231,-2.53
UAE_001,2024-07,3390,3507,-2513,-2311,3.45
UAE_001,2024-08,3536,3381,-7299,-7070,-4.38
UAE_001,2024-09,6696,6213,-6054,-5915,-7.21
UAE_001,2024-10,1403,1377,-2568,-2764,-1.85
UAE_001,2024-11,1944,1853,-7044,-6440,-4.68
UAE_001,2024-12,1301,1444,-6716,-5936,10.99
UAE_001,2025-01,2108,2037,-1035,-983,-3.37
UAE_001,2025-02,1845,1796,-1540,-1356,-2.66
UAE_001,2025-03,983,898,-5238,-5294,-8.65
UAE_001,2025-04,1605,1673,-3701,-4024,4.24
UAE_001,2025-05,2369,2465,-6280,-5727,4.05
UAE_001,2025-06,4990,4742,-5257,-5922,-4.97
UAE_001,2025-07,3839,3498,-2345,-2735,-8.88
UAE_001,2025-08,15104,14357,-4329,-4313,-4.95
UAE_001,2025-09,2006,1892,-1404,-1452,-5.68
UAE_001,2025-10,1790,1788,-2682,-2809,-0.11
UAE_001,2025-11,1709,1579,-4572,-5042,-7.61
UAE_001,2025-12,2684,2518,-4216,-4759,-6.18
UAE_002,2023-01,1883,1753,-4268,-3927,-6.9
UAE_002,2023-02,854,800,-1225,-1337,-6.32
UAE_002,2023-03,1827,1759,-2645,-2533,-3.72
