business_id,product_id,category,price,cost,launch_date
UAE_001,P_UAE_001_1,Retail,673,360,2022-01-01
UAE_001,P_UAE_001_2,Retail,1662,956,2022-01-01
UAE_002,P_UAE_002_1,Retail,1036,491,2022-01-01
UAE_002,P_UAE_002_2,Retail,208,88,2022-01-01
UAE_003,P_UAE_003_1,Retail,1979,777,2022-01-01
UAE_003,P_UAE_003_2,Retail,1623,638,2022-01-01
UAE_003,P_UAE_003_3,Retail,269,179,2022-01-01
UAE_003,P_UAE_003_4,Retail,556,354,2022-01-01
UAE_004,P_UAE_004_1,Retail,3242,2162,2022-01-01
UAE_004,P_UAE_004_2,Retail,775,285,2022-01-01
UAE_005,P_UAE_005_1,Services,3637,1764,2022-01-01
UAE_005,P_UAE_005_2,Services,5617,3150,2022-01-01
UAE_005,P_UAE_005_3,Services,1143,603,2022-01-01
UAE_006,P_UAE_006_1,Services,1256,663,2022-01-01
UAE_006,P_UAE_006_2,Services,4814,2290,2022-01-01
UAE_007,P_UAE_007_1,Retail,1342,649,2022-01-01
UAE_007,P_UAE_007_2,Retail,1454,567,2022-01-01
UAE_007,P_UAE_007_3,Retail,2492,1243,2022-01-01
UAE_007,P_UAE_007_4,Retail,935,559,2022-01-01
UAE_008,P_UAE_008_1,Retail,9089,6023,2022-01-01
UAE_008,P_UAE_008_2,Retail,7836,4285,2022-01-01
UAE_008,P_UAE_008_3,Retail,3325,2236,2022-01-01
UAE_009,P_UAE_009_1,Retail,2169,1407,2022-01-01
UAE_009,P_UAE_009_2,Retail,153,86,2022-01-01
UAE_009,P_UAE_009_3,Retail,982,486,2022-01-01
UAE_009,P_UAE_009_4,Retail,2096,960,2022-01-01
UAE_010,P_UAE_010_1,Retail,976,642,2022-01-01
UAE_010,P_UAE_010_2,Retail,194,134,2022-01-01
UAE_010,P_UAE_010_3,Retail,1694,996,2022-01-01
UAE_011,P_UAE_011_1,Services,1046,727,2022-01-01
UAE_011,P_UAE_011_2,Services,1134,518,2022-01-01
UAE_011,P_UAE_011_3,Services,976,477,2022-01-01
UAE_011,P_UAE_011_4,Services,2071,783,2022-01-01
UAE_012,P_UAE_012_1,Services,3074,1494,2022-01-01
UAE_012,P_UAE_012_2,Services,540,204,2022-01-01
UAE_013,P_UAE_013_1,Retail,970,657,2022-01-01
UAE_013,P_UAE_013_2,Retail,1457,575,2022-01-01
UAE_013,P_UAE_013_3,Retail,1297,750,2022-01-01
UAE_013,P_UAE_013_4,Retail,2111,1430,2022-01-01
UAE_014,P_UAE_014_1,Retail,2923,1321,2022-01-01
UAE_014,P_UAE_014_2,Retail,3599,2277,2022-01-01
UAE_014,P_UAE_014_3,Retail,2183,902,2022-01-01
UAE_015,P_UAE_015_1,Manufacturing,117,51,2022-01-01
UAE_015,P_UAE_015_2,Manufacturing,579,205,2022-01-01
UAE_015,P_UAE_015_3,Manufacturing,1857,1100,2022-01-01
UAE_016,P_UAE_016_1,Services,2062,1380,2022-01-01
UAE_016,P_UAE_016_2,Services,2497,908,2022-01-01
UAE_017,P_UAE_017_1,Retail,39644,26521,2022-01-01
UAE_017,P_UAE_017_2,Retail,41354,28366,2022-01-01
UAE_017,P_UAE_017_3,Retail,22535,12067,2022-01-01
UAE_018,P_UAE_018_1,Retail,1803,743,2022-01-01
UAE_018,P_UAE_018_2,Retail,354,171,2022-01-01
UAE_018,P_UAE_018_3,Retail,1200,683,2022-01-01
UAE_019,P_UAE_019_1,Retail,1917,837,2022-01-01
UAE_019,P_UAE_019_2,Retail,984,588,2022-01-01
UAE_019,P_UAE_019_3,Retail,416,210,2022-01-01
UAE_019,P_UAE_019_4,Retail,2832,1384,2022-01-01
UAE_020,P_UAE_020_1,Retail,10470,6270,2022-01-01
UAE_020,P_UAE_020_2,Retail,15667,5486,2022-01-01
UAE_021,P_UAE_021_1,Retail,4831,3193,2022-01-01
UAE_021,P_UAE_021_2,Retail,44820,24891,2022-01-01
UAE_022,P_UAE_022_1,Manufacturing,3935,1676,2022-01-01
UAE_022,P_UAE_022_2,Manufacturing,3945,2367,2022-01-01
UAE_022,P_UAE_022_3,Manufacturing,3332,1270,2022-01-01
UAE_023,P_UAE_023_1,Retail,399,256,2022-01-01
UAE_023,P_UAE_023_2,Retail,1922,722,2022-01-01
UAE_023,P_UAE_023_3,Retail,2107,977,2022-01-01
UAE_023,P_UAE_023_4,Retail,946,390,2022-01-01
UAE_024,P_UAE_024_1,Retail,3101,1970,2022-01-01
UAE_024,P_UAE_024_2,Retail,279,98,2022-01-01
UAE_025,P_UAE_025_1,Services,1082,611,2022-01-01
UAE_025,P_UAE_025_2,Services,546,218,2022-01-01
UAE_026,P_UAE_026_1,Retail,12390,7719,2022-01-01
UAE_026,P_UAE_026_2,Retail,15024,7501,2022-01-01
UAE_026,P_UAE_026_3,Retail,21947,8509,2022-01-01
UAE_026,P_UAE_026_4,Retail,5366,2519,2022-01-01
UAE_027,P_UAE_027_1,Manufacturing,2040,1280,2022-01-01
UAE_027,P_UAE_027_2,Manufacturing,1297,560,2022-01-01
UAE_028,P_UAE_028_1,Services,2231,1448,2022-01-01
UAE_028,P_UAE_028_2,Services,503,336,2022-01-01
UAE_028,P_UAE_028_3,Services,1771,1063,2022-01-01
UAE_029,P_UAE_029_1,Retail,27162,17748,2022-01-01
UAE_029,P_UAE_029_2,Retail,8895,4437,2022-01-01
UAE_030,P_UAE_030_1,Services,2190,926,2022-01-01
UAE_030,P_UAE_030_2,Services,271,104,2022-01-01
UAE_031,P_UAE_031_1,Retail,1621,699,2022-01-01
UAE_031,P_UAE_031_2,Retail,1513,772,2022-01-01
UAE_031,P_UAE_031_3,Retail,2111,740,2022-01-01
UAE_031,P_UAE_031_4,Retail,1809,1016,2022-01-01
UAE_032,P_UAE_032_1,Retail,2362,1269,2022-01-01
UAE_032,P_UAE_032_2,Retail,1962,1090,2022-01-01
