business_id,month,leads_in,opportunities,proposals_sent,deals_closed,pipeline_value
UAE_001,2023-01,56,22,11,1,50659
UAE_001,2023-02,49,19,9,1,35549
UAE_001,2023-03,25,10,5,1,7772
UAE_001,2023-04,50,20,10,1,40970
UAE_001,2023-05,32,12,6,1,33140
UAE_001,2023-06,19,7,3,1,19913
UAE_001,2023-07,28,11,5,1,10191
UAE_001,2023-08,33,13,6,1,11267
UAE_001,2023-09,56,22,11,1,19057
UAE_001,2023-10,22,8,4,1,17183
UAE_001,2023-11,43,17,8,1,16694
UAE_001,2023-12,15,6,3,1,10584
UAE_001,2024-01,13,5,2,1,4896
UAE_001,2024-02,25,10,5,1,14993
UAE_001,2024-03,55,22,11,1,17584
UAE_001,2024-04,37,14,7,1,21644
UAE_001,2024-05,20,8,4,1,8975
UAE_001,2024-06,33,13,6,1,24378
UAE_001,2024-07,29,11,5,1,28579
UAE_001,2024-08,98,39,19,3,33008
UAE_001,2024-09,76,30,15,2,73713
UAE_001,2024-10,27,10,5,1,11795
UAE_001,2024-11,63,25,12,1,43298
UAE_001,2024-12,58,23,11,1,33238
UAE_001,2025-01,13,5,2,1,10423
UAE_001,2025-02,11,4,2,1,7093
UAE_001,2025-03,52,20,10,1,16351
UAE_001,2025-04,31,12,6,1,16515
UAE_001,2025-05,50,20,10,1,36952
UAE_001,2025-06,62,24,12,2,39967
UAE_001,2025-07,30,12,6,1,28695
UAE_001,2025-08,96,38,19,3,94550
UAE_001,2025-09,22,8,4,1,11058
UAE_001,2025-10,27,10,5,1,14152
UAE_001,2025-11,57,22,11,1,30011
UAE_001,2025-12,63,25,12,2,29135
UAE_002,2023-01,47,18,9,1,38486
UAE_002,2023-02,14,5,2,1,4702
UAE_002,2023-03,30,12,6,1,22832
UAE_002,2023-04,36,14,7,1,41013
UAE_002,2023-05,34,13,6,1,16044
UAE_002,2023-06,47,18,9,1,35631
UAE_002,2023-07,83,33,16,1,95046
UAE_002,2023-08,18,7,3,1,10479
UAE_002,2023-09,86,34,17,2,34002
UAE_002,2023-10,27,10,5,1,28524
UAE_002,2023-11,60,24,12,1,41169
UAE_002,2023-12,52,20,10,1,37167
UAE_002,2024-01,25,10,5,1,28296
UAE_002,2024-02,16,6,3,1,5648
UAE_002,2024-03,15,6,3,1,6114
UAE_002,2024-04,24,9,4,1,25634
UAE_002,2024-05,42,16,8,1,45650
UAE_002,2024-06,39,15,7,1,15003
UAE_002,2024-07,51,20,10,1,41398
UAE_002,2024-08,68,27,13,1,69723
UAE_002,2024-09,67,26,13,2,32398
UAE_002,2024-10,18,7,3,1,7038
UAE_002,2024-11,25,10,5,1,24734
UAE_002,2024-12,49,19,9,1,23854
UAE_002,2025-01,41,16,8,1,47695
UAE_002,2025-02,35,14,7,1,39226
UAE_002,2025-03,12,4,2,1,9748
