month,GDP_growth,inflation_rate,oil_price,usd_aed_rate
2023-01,3.17,3.9,79.49,3.6725
2023-02,3.4,3.76,87.57,3.6725
2023-03,3.79,3.73,91.4,3.6725
2023-04,3.61,3.73,89.63,3.6725
2023-05,3.25,3.54,87.39,3.6725
2023-06,3.25,3.85,81.31,3.6725
2023-07,2.92,4.02,75.28,3.6725
2023-08,2.96,3.59,72.32,3.6725
2023-09,2.79,3.63,67.71,3.6725
2023-10,2.58,3.76,69.13,3.6725
2023-11,3.14,3.8,67.53,3.6725
2023-12,3.11,3.62,69.83,3.6725
2024-01,2.81,3.6,78.63,3.6725
2024-02,3.6,3.83,83.59,3.6725
2024-03,3.57,3.58,86.31,3.6725
2024-04,3.61,3.96,85.84,3.6725
2024-05,3.28,3.85,87.69,3.6725
2024-06,3.31,3.89,81.84,3.6725
2024-07,3.39,3.67,81.09,3.6725
2024-08,3.02,3.95,72.07,3.6725
2024-09,2.73,3.63,67.9,3.6725
2024-10,2.86,4.0,64.41,3.6725
2024-11,2.97,3.85,69.12,3.6725
2024-12,3.02,4.03,71.06,3.6725
2025-01,3.51,3.41,77.89,3.6725
2025-02,3.47,3.76,85.47,3.6725
2025-03,3.24,3.77,86.94,3.6725
2025-04,4.0,3.72,89.07,3.6725
2025-05,3.53,3.94,84.23,3.6725
2025-06,3.34,3.88,83.99,3.6725
2025-07,3.39,3.69,78.29,3.6725
2025-08,2.87,3.58,72.02,3.6725
2025-09,2.82,3.8,70.23,3.6725
2025-10,2.42,3.74,67.3,3.6725
2025-11,2.61,3.78,68.31,3.6725
2025-12,3.33,3.83,74.21,3.6725
