month,revenue,expenses,profit,leads,qualified_leads,customers,churn_rate,marketing_spend,cac,arpu
2023-01,125000,95000,30000,210,84,65,4.2,12000,428,1923
2023-02,132000,98000,34000,225,90,70,4.0,12500,416,1885
2023-03,138000,100000,38000,240,96,76,3.8,13000,406,1815
2023-04,145000,102000,43000,255,102,82,3.9,13500,397,1768
2023-05,152000,105000,47000,270,108,88,3.7,14000,388,1727
2023-06,164000,108000,56000,290,116,95,3.5,15000,375,1726
2023-07,159000,106000,53000,280,112,92,3.6,14500,381,1728
2023-08,172000,110000,62000,310,124,102,3.4,15500,369,1686
2023-09,181000,112000,69000,330,132,110,3.3,16000,363,1645
2023-10,192000,115000,77000,350,140,118,3.2,17000,361,1627
2023-11,205000,118000,87000,380,152,128,3.1,18000,352,1601
2023-12,220000,122000,98000,410,164,140,3.0,19500,348,1571
2024-01,215000,120000,95000,400,160,136,3.1,19000,351,1580
2024-02,228000,124000,104000,425,170,146,3.0,20000,344,1561
2024-03,240000,126000,114000,450,180,155,2.9,21000,338,1548
2024-04,252000,130000,122000,475,190,165,2.8,22000,333,1527
2024-05,268000,134000,134000,500,200,176,2.7,23500,331,1522
2024-06,285000,138000,147000,530,212,188,2.6,25000,328,1515
2024-07,278000,136000,142000,515,206,182,2.7,24200,331,1527
2024-08,295000,140000,155000,550,220,198,2.5,26000,325,1489
2024-09,310000,144000,166000,580,232,210,2.4,27500,323,1476
2024-10,328000,148000,180000,610,244,224,2.3,29000,322,1464
2024-11,350000,152000,198000,650,260,240,2.2,31000,319,1458
2024-12,375000,158000,217000,700,280,260,2.1,33500,316,1442
2025-01,368000,156000,212000,685,274,254,2.2,32800,318,1448
2025-02,388000,160000,228000,720,288,270,2.1,34500,313,1437
2025-03,410000,164000,246000,760,304,288,2.0,36500,310,1423
2025-04,432000,168000,264000,800,320,306,1.9,38500,308,1411
2025-05,455000,172000,283000,845,338,325,1.8,40500,304,1400
2025-06,485000,178000,307000,900,360,350,1.7,43500,300,1385
2025-07,472000,175000,297000,875,350,338,1.8,42000,302,1396
2025-08,505000,182000,323000,940,376,368,1.6,45500,296,1372
2025-09,530000,186000,344000,990,396,390,1.5,48000,293,1358
2025-10,560000,192000,368000,1050,420,415,1.4,51000,289,1349
2025-11,595000,198000,397000,1120,448,445,1.3,54500,285,1337
2025-12,640000,205000,435000,1200,480,480,1.2,59000,280,1333
